"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"LR04R250C020","1","0",,
"LR04R250C030","1","2383",,
"LR04R250C040","1","0",,
"LR04R260C010","1","2333",,
"LR04R260C020","1","0",,
"LR04R260C030","1","2333",,
"LR04R260C040","1","0",,
"LR04R270C010","1","50",,
"LR04R270C020","1","0",,
"LR04R270C030","1","50",,
"LR04R270C040","1","0",,
"LR04R280C010","1","359",,
"LR04R280C020","1","0",,
"LR04R280C030","1","538.5",,
"LR04R280C040","1","0",,
"LR04R290C010","1","7706",,
"LR04R290C020","1","0",,
"LR04R290C030","1","5739.5",,
"LR04R290C040","1","0",,
"LR04R300C010","1","0",,
"LR04R300C020","1","0",,
"LR04R300C030","1","0",,
"LR04R300C040","1","0",,
"LR04R310C010","1","2372",,
"LR04R310C020","1","0",,
"LR04R310C030","1","0",,
"LR04R310C040","1","0",,
"LR04R320C010","1","1184",,
"LR04R320C020","1","0",,
"LR04R320C030","1","0",,
"LR04R320C040","1","0",,
"LR05R010C010","1","Joint stock company",,
"LR05R010C010XBRL","1","",,
"LR05R020C010","1","Mark-to-market method",,
"LR05R020C010XBRL","1","",,
"LR05R030C010","1","IFRS",,
"LR05R030C010XBRL","1","",,
"LR05R040C010","1","Retail/commercial banking",,
"LR05R040C010XBRL","1","",,
"LR05R050C010","1","End-quarter",,
"LR05R050C010XBRL","1","",,
"LR05R060C010","1","Consolidated",,
"LR05R060C010XBRL","1","",,
"LR06R010C010","1","0",,
"LR06R010C020","1","0",,
"LR06R010C030","1","0",,
"LR06R020C010","1","0",,
"LR06R020C020","1","0",,
"LR06R020C030","1","0",,
"LR06R030C010","1","0",,
"LR06R030C020","1","0",,
"LR06R030C030","1","0",,
"LR06R040C010","1","0",,
"LR06R040C020","1","0",,
"LR06R040C030","1","0",,
"LR06R050C010","1","0",,
"LR06R050C020","1","0",,
"LR06R050C030","1","0",,
"LR06R060C010","1","0",,
"LR06R060C020","1","0",,
"LR06R060C030","1","0",,
"LR06R070C010","1","0",,
"LR06R070C020","1","0",,
"LR06R070C030","1","0",,
"LR06R080C010","1","0",,
"LR06R080C020","1","0",,
"LR06R080C030","1","0",,
"LR06R090C010","1","0",,
"LR06R090C020","1","0",,
"LR06R090C030","1","0",,
"LR06R100C010","1","0",,
"LR06R100C020","1","0",,
"LR06R100C030","1","0",,
"LR06R110C010","1","0",,
"LR06R110C020","1","0",,
"LR06R110C030","1","0",,
"LR06R120C010","1","0",,
"LR06R120C020","1","0",,
"LR06R120C030","1","0",,
"LR06R130C010","1","0",,
"LR06R130C020","1","0",,
"LR06R130C030","1","0",,
"LR06R140C010","1","0",,
"LR06R140C020","1","0",,
"LR06R140C030","1","0",,
"LR06R150C010","1","0",,
"LR06R150C020","1","0",,
"LR06R150C030","1","0",,
"LR06R160C010","1","0",,
"LR06R160C030","1","0",,
"LR06R170C030","1","0",,
